NO,DISTRIK,RESORT,HURIA,Total Input Januari 2023,Total Terima Januari 2023,Target Januari 2023,% Januari 2023,Total Input Februari 2023,Total Terima Februari 2023,Target Februari 2023,% Februari 2023,Total Input Maret 2023,Total Terima Maret 2023,Target Maret 2023,% Maret 2023,Total Input April 2023,Total Terima April 2023,Target April 2023,% April 2023,Total Input Mei 2023,Total Terima Mei 2023,Target Mei 2023,% Mei 2023,Total Input Juni 2023,Total Terima Juni 2023,Target Juni 2023,% Juni 2023,Total Input Juli 2023,Total Terima Juli 2023,Target Juli 2023,% Juli 2023,Total Input Agustus 2023,Total Terima Agustus 2023,Target Agustus 2023,% Agustus 2023,Total Input September 2023,Total Terima September 2023,Target September 2023,% September 2023,Total Input Oktober 2023,Total Terima Oktober 2023,Target Oktober 2023,% Oktober 2023,Total Input November 2023,Total Terima November 2023,Target November 2023,% November 2023,Total Input Desember 2023,Total Terima Desember 2023,Target Desember 2023,% Desember 2023,Total Input Januari 2024,Total Terima Januari 2024,Target Januari 2024,% Januari 2024,Total Input Februari 2024,Total Terima Februari 2024,Target Februari 2024,% Februari 2024,Total Input Maret 2024,Total Terima Maret 2024,Target Maret 2024,% Maret 2024,Total Input April 2024,Total Terima April 2024,Target April 2024,% April 2024,Total Input Mei 2024,Total Terima Mei 2024,Target Mei 2024,% Mei 2024,Total Input Juni 2024,Total Terima Juni 2024,Target Juni 2024,% Juni 2024,Total Input Juli 2024,Total Terima Juli 2024,Target Juli 2024,% Juli 2024
1,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Padangsidimpuan,34273800,34273800,207020000,16.55579171,21355675,21355675,207020000,10.31575452,30622900,30622900,207020000,14.7922423,40267425,40267425,207020000,19.450983,35502775,35502775,207020000,17.14944208,28614300,28614300,207020000,13.82199787,31491350,31491350,207020000,15.21174283,27875925,27875925,207020000,13.46532944,27497525,27497525,207020000,13.28254516,31679450,31679450,207020000,15.30260361,30671300,30671300,207020000,14.81562168,64339275,64339275,207020000,31.07877258,36210625,36210625,35986675,100.6223137,24394700,24394700,35986675,67.78814658,37644200,37644200,35986675,104.6059409,23967350,23967350,35986675,66.6006237,33677875,33677875,35986675,93.58429196,31054650,31054650,35986675,86.29485775,24900975,24900975,35986675,69.19498676
2,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Dammerboer Hutaimbaru,3959450,3959450,61380000,6.450716846,3084400,3084400,61380000,5.025089606,3646775,3646775,61380000,5.941308244,5350400,5350400,61380000,8.716845878,3682800,3682800,61380000,6,3575550,3575550,61380000,5.825268817,4115650,4115650,61380000,6.705197133,3024175,3024175,61380000,4.926971326,2895750,2895750,61380000,4.717741935,3469950,3469950,61380000,5.653225806,2936725,2936725,61380000,4.784498208,6601105,6601105,61380000,10.75448843,3918750,3918750,4547249,86.17847846,3814250,3814250,4547249,83.8803857,4390100,4390100,4547249,96.54408633,3456200,3456200,4547249,76.0063942,4105200,4105200,4547249,90.27875975,3765850,3765850,4547249,82.8160059,3254350,3254350,4547249,71.5674466
3,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Hutalimbong,3240600,3240600,4603500,70.39426523,2130150,2130150,4603500,46.27240143,2112000,2112000,4603500,45.8781362,3490850,3490850,4603500,75.83034648,3068175,3068175,4603500,66.64874552,1854600,1854600,4603500,40.28673835,2889150,2889150,4603500,62.75985663,2518450,2518450,4603500,54.70728793,2110900,2110900,4603500,45.85424134,2487650,2487650,4603500,54.03823178,1912900,1912900,4603500,41.55316607,5057250,5057250,4603500,109.8566308,3554650,3554650,3115899,114.0810405,2311925,2311925,3115899,74.19768741,3242800,3242800,3115899,104.072693,2178825,2178825,3115899,69.92604703,2649350,2649350,3115899,85.02682532,3563450,3563450,3115899,114.363463,3526600,3526600,3115899,113.1808188
4,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Hutatonga,3092100,3092100,3682800,83.96057348,1219350,1219350,3682800,33.109319,1765500,1765500,3682800,47.9390681,3401200,3401200,3682800,92.35364397,2302850,2302850,3682800,62.52986858,1228700,1228700,3682800,33.36320191,1225400,1225400,3682800,33.27359618,1377200,1377200,3682800,37.39545998,1625800,1625800,3682800,44.14575866,1452550,1452550,3682800,39.44145759,1174800,1174800,3682800,31.89964158,3274150,3274150,3682800,88.90382318,2701600,2701600,2361134,114.4195967,1788050,1788050,2361134,75.72844235,1756150,1756150,2361134,74.37739662,1499850,1499850,2361134,63.52244303,1986600,1986600,2361134,84.1375373,2173050,2173050,2361134,92.03416663,1315600,1315600,2361134,55.71898927
5,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Mompang,923450,923450,3069000,30.08960573,1024925,1024925,3069000,33.39605735,1249325,1249325,3069000,40.7078853,2027575,2027575,3069000,66.06630824,1385450,1385450,3069000,45.14336918,1147850,1147850,3069000,37.40143369,1948100,1948100,3069000,63.47670251,1138775,1138775,3069000,37.10573477,1069750,1069750,3069000,34.85663082,1420375,1420375,3069000,46.28136201,1316700,1316700,3069000,42.90322581,2639589,2639589,3069000,86.00811339,1609850,1609850,1610017,99.98962744,1169850,1169850,1610017,72.66072346,1298000,1298000,1610017,80.62026674,789250,789250,1610017,49.02122152,1320000,1320000,1610017,81.98671194,2020700,2020700,1610017,125.5079915,1229250,1229250,1610017,76.3501255
6,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Tangsimanunggang,2520650,2520650,3069000,82.13261649,1073050,1073050,3069000,34.96415771,1314500,1314500,3069000,42.83154122,1934350,1934350,3069000,63.02867384,1804550,1804550,3069000,58.79928315,1315050,1315050,3069000,42.84946237,1616450,1616450,3069000,52.6702509,1119800,1064800,3069000,34.6953405,931150,931150,3069000,30.34050179,1261150,1261150,3069000,41.09318996,863500,836000,3069000,27.24014337,2594350,2594350,3069000,84.53405018,2621850,2451350,1920508,127.6407076,1584550,1183050,1920508,61.60088893,2083950,2083950,1920508,108.5103525,1397000,1192950,1920508,62.11637754,1926650,1684650,1920508,87.71897852,2082300,1422300,1920508,74.05853035,874500,874500,1920508,45.53482724
7,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Tinjoman,1477850,1477850,3069000,48.15412186,1427525,1427525,3069000,46.51433692,1004300,1004300,3069000,32.72401434,1462725,1462725,3069000,47.66129032,2063325,2063325,3069000,67.2311828,1162150,1162150,3069000,37.86738351,2472250,2472250,3069000,80.55555556,1251250,1251250,3069000,40.77060932,1796850,1796850,3069000,58.5483871,2035550,2035550,3069000,66.32616487,2138125,2138125,3069000,69.66845878,2368300,2368300,3069000,77.16845878,1462450,1462450,1836169,79.64680811,1101650,1101650,1836169,59.99720069,1866700,1866700,1836169,101.6627554,1759450,1759450,1836169,95.82178982,1518000,1518000,1836169,82.67212876,2046550,2046550,1836169,111.4576055,2065250,2065250,1836169,112.4760303
8,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Dame Mayor PMB Alboin Hutabarat,11654225,11654225,9207000,126.5800478,8481550,8481550,9207000,92.12066906,7763525,7763525,9207000,84.32198327,13960375,13960375,9207000,151.6278375,9019175,9019175,9207000,97.95997611,7379350,7379350,9207000,80.14934289,9592550,9592550,9207000,104.1875747,7448650,7448650,9207000,80.90203106,6472400,6472400,9207000,70.29868578,9672850,9672850,9207000,105.0597372,8947400,8947400,9207000,97.18040621,22694650,22694650,9207000,246.4934289,12463550,12463550,11254203,110.7457365,9442950,9442950,11254203,83.90598606,12500950,12500950,11254203,111.0780568,9760850,9760850,11254203,86.73070852,9930800,9930800,11254203,88.24081101,10474750,10474750,11254203,93.0741164,8473850,8473850,11254203,75.29498091
9,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Sipirok,7373300,7373300,5600927,131.6442796,3489200,3489200,5600927,62.29683051,5690300,5690300,5600927,101.5956823,8739995,8739995,5600927,156.0455082,6045050,6045050,5600927,107.9294552,0,0,5600927,0,5178250,5178250,5600927,92.45344565,4096950,4096950,5600927,73.14771287,4511650,4221800,5600927,75.37680816,5161200,4941200,5600927,88.22111054,4025450,4025450,5600927,71.87113847,9788625,9513625,5600927,169.8580431,5844300,5171650,6347555,81.47467805,3587650,3477650,6347555,54.78723698,5304750,5304750,6347555,83.57154842,4452800,4287800,6347555,67.55041902,8498600,5198600,6347555,81.89925097,5185400,5185400,6347555,81.69129689,3893450,3893450,6347555,61.33779069
10,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Arse,801350,801350,1534500,52.22222222,510950,510950,1534500,33.29749104,204050,204050,1534500,13.29749104,733700,733700,1534500,47.81362007,158950,158950,1534500,10.35842294,68200,68200,1534500,4.444444444,669269,669269,1534500,43.61479309,556050,556050,1534500,36.23655914,2682350,2682350,1534500,174.8028674,887700,887700,1534500,57.84946237,558250,558250,1534500,36.37992832,1712425,1712425,1534500,111.5949821,876150,876150,521895,167.8785963,799150,799150,521895,153.1246707,1527900,1527900,521895,292.7600379,1127500,1127500,521895,216.0396248,1299650,1299650,521895,249.0251871,1221550,1221550,521895,234.0604911,710600,710600,521895,136.1576562
